id,titles,primary_title,year,rating,num_votes
tt0004972,The Birth of the Nation; Or The Clansman%In the Clutches of the Ku Klux Klan%The Clansman%The Birth of a Nation,The Birth of a Nation,1915,6.3,22280
tt0006864,Intolerance: Love's Struggle Throughout the Ages%Intolerance%Intolerance: A Sun-Play of the Ages%The Mother and the Law,Intolerance: Love's Struggle Throughout the Ages,1916,7.7,13915
tt0009611,Shoulder Arms,Shoulder Arms,1918,7.3,5922
tt0009968,Broken Blossoms or The Yellow Man and the Girl%Broken Blossoms,Broken Blossoms,1919,7.3,9263
tt0010323,Das Cabinet des Dr. Caligari%The Cabinet of Dr. Caligari,The Cabinet of Dr. Caligari,1920,8.1,55789
tt0011237,"Der Golem, wie er in die Welt kam%The Golem%The Golem: How He Came Into the World",The Golem,1920,7.2,6617
tt0012349,The Kid%The Waif,The Kid,1921,8.3,109564
tt0012364,The Phantom Carriage%Körkarlen,The Phantom Carriage,1921,8.1,10095
tt0012494,Destiny%Der müde Tod%The Weary Death%Between Two Worlds%Beyond the Wall%Between Worlds,Destiny,1921,7.7,5162
tt0013086,"Dr. Mabuse, der Spieler%Dr. Mabuse, the Gambler part one: The Great Gamble%Dr. Mabuse the Gambler%Dr. Mabuse, the Gambler. Part two: Inferno%The Fatal Passion",Dr. Mabuse the Gambler,1922,7.9,7339
tt0013257,Häxan: Witchcraft Through the Ages%Häxan%The Witches,Häxan,1922,7.7,11845
tt0013427,Nanook of the North,Nanook of the North,1922,7.6,10627
tt0013442,"Nosferatu, eine Symphonie des Grauens%Nosferatu%Nosferatu, a Symphony of Horror",Nosferatu,1922,7.9,86830
tt0014341,Our Hospitality,Our Hospitality,1923,7.8,9931
tt0014429,Safety Last!,Safety Last!,1923,8.1,17863
tt0015064,Der letzte Mann%The Last Laugh,The Last Laugh,1924,8.1,12285
tt0015163,The Navigator,The Navigator,1924,7.7,8887
tt0015175,Die Nibelungen%Die Nibelungen: Siegfried,Die Nibelungen: Siegfried,1924,8.1,5096
tt0015324,The Misfit%Sherlock Jr.,Sherlock Jr.,1924,8.2,39904
tt0015400,The Thief of Bagdad: An Arabian Nights Fantasy%The Thief of Bagdad,The Thief of Bagdad,1924,7.7,5472
tt0015532,The Adventures of Prince Achmed%Die Abenteuer des Prinzen Achmed,The Adventures of Prince Achmed,1926,7.8,5304
tt0015624,The Big Parade,The Big Parade,1925,7.9,6103
tt0015648,Bronenosets Potemkin%The Armored Cruiser Potemkin%Potemkin%The Battleship Potemkin%Battleship Potemkin,Battleship Potemkin,1925,8.0,51906
tt0015864,The Gold Rush,The Gold Rush,1925,8.2,97892
tt0015881,Greedy Wives%Greed,Greed,1924,8.1,8917
tt0016220,The Phantom of the Opera%Phantom of the Opera,The Phantom of the Opera,1925,7.6,16292
tt0016332,Seven Chances,Seven Chances,1925,7.9,8967
tt0016641,Ben-Hur: A Tale of the Christ%Ben-Hur,Ben-Hur: A Tale of the Christ,1925,7.8,7056
tt0016847,Faust: Eine deutsche Volkssage%Faust,Faust,1926,8.1,13619
tt0017075,The Lodger%The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,1927,7.3,10073
tt0017136,Metropolis,Metropolis,1927,8.3,156586
tt0017925,The General%The Engine Driver,The General,1926,8.1,78995
tt0018037,The Jazz Singer,The Jazz Singer,1927,6.5,8882
tt0018192,Napoléon vu par Abel Gance%Napoleon%Abel Gance's Napoleon,Napoleon,1927,8.1,6887
tt0018217,October (Ten Days that Shook the World)%Oktyabr,October (Ten Days that Shook the World),1927,7.5,6898
tt0018455,Sunrise%Sunrise: A Song of Two Humans,Sunrise,1927,8.1,46185
tt0018528,The Unknown%Alonzo the Armless%Armless Alonzo,The Unknown,1927,7.8,7008
tt0018578,Wings,Wings,1927,7.5,11181
tt0018737,Die Büchse der Pandora%Pandora's Box,Pandora's Box,1929,7.9,9560
tt0018742,The Cameraman%Snapshots,The Cameraman,1928,8.1,10135
tt0018773,The Circus,The Circus,1928,8.1,27818
tt0018806,The Crowd%One of the Mob%The Mob,The Crowd,1928,8.1,7395
tt0019130,The Man Who Laughs,The Man Who Laughs,1928,7.7,5750
tt0019254,La passion de Jeanne d'Arc%The Passion of Joan of Arc,The Passion of Joan of Arc,1928,8.1,46018
tt0019421,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",1928,7.9,12855
tt0019585,The Wind,The Wind,1928,8.1,5990
tt0019702,Blackmail,Blackmail,1929,7.0,9439
tt0019729,The Broadway Melody%The Sister Act%The Broadway Melody of 1929,The Broadway Melody,1929,5.7,6342
tt0019760,"Chelovek s kino-apparatom%Man with a Movie Camera%Living Russia, or The Man with a Camera",Man with a Movie Camera,1929,8.4,21921
tt0019777,The Cocoanuts,The Cocoanuts,1929,7.0,6911
tt0020629,All Quiet on the Western Front,All Quiet on the Western Front,1930,8.0,56454
tt0020640,Animal Crackers,Animal Crackers,1930,7.5,13368
tt0020697,Der blaue Engel%The Blue Angel,The Blue Angel,1930,7.7,13336
tt0021079,Little Caesar,Little Caesar,1931,7.3,11783
tt0021156,Morocco%Amy Jolly,Morocco,1930,7.1,5459
tt0021165,Murder!%Enter Sir John,Murder!,1930,6.4,5658
tt0021331,Le sang d'un poète%The Blood of a Poet,The Blood of a Poet,1930,7.4,5845
tt0021577,The Golden Age%L'âge d'or%L'Age d'Or,L'Age d'Or,1930,7.3,12577
tt0021746,Cimarron,Cimarron,1931,5.9,5316
tt0021749,City Lights%City Lights: A Comedy Romance in Pantomime,City Lights,1931,8.5,163292
tt0021814,Dracula,Dracula,1931,7.5,45204
tt0021884,Frankenstein,Frankenstein,1931,7.8,63495
tt0022100,Murderers Among Us%M - Eine Stadt sucht einen Mörder,M,1931,8.3,139801
tt0022158,Monkey Business,Monkey Business,1931,7.5,11220
tt0022286,Beer and Blood%The Public Enemy,The Public Enemy,1931,7.7,17354
tt0022718,Boudu sauvé des eaux%Boudu Saved from Drowning,Boudu Saved from Drowning,1932,7.4,5055
tt0022835,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1931,7.6,12257
tt0022913,Freaks%Nature's Mistakes%Forbidden Love%The Freaks%The Monster Show,Freaks,1932,7.9,41261
tt0022958,Grand Hotel,Grand Hotel,1932,7.4,16974
tt0023027,Horse Feathers,Horse Feathers,1932,7.6,11619
tt0023042,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,1932,8.2,11416
tt0023238,The Most Dangerous Game,The Most Dangerous Game,1932,7.2,10202
tt0023245,The Mummy,The Mummy,1932,7.1,22806
tt0023293,The Old Dark House,The Old Dark House,1932,7.1,8932
tt0023427,The Shame of a Nation%Scarface%Scarface: The Shame of the Nation,Scarface,1932,7.8,24762
tt0023458,Shanghai Express,Shanghai Express,1932,7.3,7327
tt0023551,"Tarzan, the Ape Man%Tarzan the Ape Man",Tarzan the Ape Man,1932,7.0,6872
tt0023563,Das Testament des Dr. Mabuse%The Testament of Dr. Mabuse%The Crimes of Dr. Mabuse%The Last Will of Dr. Mabuse,The Testament of Dr. Mabuse,1933,8.0,11195
tt0023622,The Honest Finder%Thieves and Lovers%Trouble in Paradise%The Golden Widow,Trouble in Paradise,1932,8.0,12558
tt0023649,Castle of Doom%The Vampire%Vampyr%Not Against the Flesh,Vampyr,1932,7.5,15300
tt0023694,White Zombie,White Zombie,1932,6.3,9072
tt0023775,Baby Face,Baby Face,1933,7.6,6074
tt0023940,Not Married%Design for Living,Design for Living,1933,7.5,5573
tt0023948,Dinner at Eight%Dinner at 8,Dinner at Eight,1933,7.5,7464
tt0023969,Firecrackers%Cracked Ice%Duck Soup,Duck Soup,1933,7.8,54828
tt0024034,Forty-Second Street%42nd Street,42nd Street,1933,7.4,10521
tt0024069,High Life%Gold Diggers of 1933%Golddiggers of 1933,Gold Diggers of 1933,1933,7.7,7149
tt0024184,The Invisible Man,The Invisible Man,1933,7.7,29384
tt0024188,The Island of Dr. Moreau%Island of Lost Souls%H.G. Wells' Island of Lost Souls,Island of Lost Souls,1932,7.4,7959
tt0024216,The Beast%King Kong%Kong%King Ape%The Ape,King Kong,1933,7.9,77630
tt0024264,Little Women,Little Women,1933,7.2,6265
tt0024481,Queen Christina,Queen Christina,1933,7.6,7040
tt0024548,Ruby Red%Diamond Lil%Diamond Lady%She Done Him Wrong%Diamonds,She Done Him Wrong,1933,6.3,5262
tt0024601,Fraternally Yours%Sons of the Desert,Sons of the Desert,1933,7.6,7674
tt0024844,L'Atalante,L'Atalante,1934,7.8,14188
tt0024852,Victor Herbert's Babes in Toyland%Babes in Toyland%March of the Wooden Soliders%Revenge is Sweet: March of the Wooden Soldiers%March of the Wooden Soldiers%Victor Herbert's March of the Wooden Soldiers,March of the Wooden Soldiers,1934,7.2,5908
tt0024894,The Black Cat%The Vanishing Body,The Black Cat,1934,7.0,9189
tt0025164,The Gay Divorcee,The Gay Divorcee,1934,7.5,6822
tt0025316,It Happened One Night%Night Bus,It Happened One Night,1934,8.1,91660
tt0025452,The Man Who Knew Too Much,The Man Who Knew Too Much,1934,6.8,16615
tt0025586,Of Human Bondage,Of Human Bondage,1934,7.1,6246
tt0025746,Catherine the Great%The Scarlet Empress,The Scarlet Empress,1934,7.6,5699
tt0025878,The Thin Man,The Thin Man,1934,8.0,25857
tt0025913,Triumph of the Will%Triumph des Willens,Triumph of the Will,1935,7.3,14633
tt0025919,Twentieth Century%20th Century,Twentieth Century,1934,7.4,5644
tt0026029,The 39 Steps,The 39 Steps,1935,7.6,50673
tt0026138,The Return of Frankenstein%Frankenstein Lives Again!%Bride of Frankenstein%The Bride of Frankenstein,Bride of Frankenstein,1935,7.8,42312
tt0026174,Captain Blood,Captain Blood,1935,7.7,12758
tt0026529,The Informer,The Informer,1935,7.4,5588
tt0026752,Mutiny on the Bounty,Mutiny on the Bounty,1935,7.7,20397
tt0026778,A Night at the Opera,A Night at the Opera,1935,7.9,30071
tt0027075,A Tale of Two Cities%Charles Dickens' 'A Tale of Two Cities',A Tale of Two Cities,1935,7.8,5017
tt0027125,Top Hat%The World by the Tail,Top Hat,1935,7.7,17050
tt0027260,After the Thin Man,After the Thin Man,1936,7.7,9238
tt0027532,Dodsworth,Dodsworth,1936,7.8,7977
tt0027545,Dracula's Daughter,Dracula's Daughter,1936,6.3,5682
tt0027652,Mob Rule%Fury%The Mob,Fury,1936,7.9,11031
tt0027698,The Great Ziegfeld,The Great Ziegfeld,1936,6.7,7066
tt0027884,Libeled Lady,Libeled Lady,1936,7.9,6871
tt0027977,Modern Times%The Masses,Modern Times,1936,8.5,212008
tt0027996,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,1936,7.9,19351
tt0028010,My Man Godfrey,My Man Godfrey,1936,8.0,20532
tt0028096,The Petrified Forest%Petrified Forest,The Petrified Forest,1936,7.5,12241
tt0028212,The Woman Alone%Sabotage%I Married a Murderer,Sabotage,1936,7.1,14539
tt0028231,Laugh Track: Secret Agent%Secret Agent,Secret Agent,1936,6.5,7631
tt0028333,I Won't Dance%Never Gonna Dance%Swing Time,Swing Time,1936,7.6,12025
tt0028346,Tell Your Children%Reefer Madness%Doped Youth%The Burning Question%Dope Addict%Love Madness,Reefer Madness,1936,3.8,7746
tt0028358,Things to Come,Things to Come,1936,6.7,6988
tt0028597,The Awful Truth,The Awful Truth,1937,7.7,17208
tt0028683,Camille,Camille,1936,7.4,7183
tt0028691,Captains Courageous%Rudyard Kipling's Captains Courageous,Captains Courageous,1937,8.0,8537
tt0028772,A Day at the Races,A Day at the Races,1937,7.6,12767
tt0028773,Dead End%Dead End: Cradle of Crime,Dead End,1937,7.3,6272
tt0028950,Grand Illusion%The Grand Illusion%La grande illusion,The Grand Illusion,1937,8.1,33250
tt0029146,The Life of Emile Zola%The Story of Emile Zola,The Life of Emile Zola,1937,7.2,6943
tt0029162,Lost Horizon%Lost Horizon of Shangri-La,Lost Horizon,1937,7.7,11795
tt0029192,Years Are So Long%Make Way for Tomorrow,Make Way for Tomorrow,1937,8.2,7033
tt0029284,My Favorite Wife,My Favorite Wife,1940,7.4,9025
tt0029322,Nothing Sacred,Nothing Sacred,1937,6.9,5853
tt0029453,Pépé le Moko,Pépé le Moko,1937,7.7,6191
tt0029546,Watch Your Step%Stepping Toes%Shall We Dance,Shall We Dance,1937,7.5,6435
tt0029583,Walt Disney's Snow White and the Seven Dwarfs%Blancanieves y los siete enanos%Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,1937,7.6,177605
tt0029604,Stage Door,Stage Door,1937,7.7,7422
tt0029606,A Star Is Born,A Star Is Born,1937,7.3,8493
tt0029682,Topper,Topper,1937,7.3,6645
tt0029747,Way Out West,Way Out West,1937,7.6,7468
tt0029808,You Only Live Once%Three Time Loser,You Only Live Once,1937,7.3,5592
tt0029811,Young and Innocent%The Girl Was Young%Coins for Candles,Young and Innocent,1937,6.9,8455
tt0029843,The Adventures of Robin Hood,The Adventures of Robin Hood,1938,7.9,46457
tt0029850,Alexander Nevsky%Aleksandr Nevskiy,Alexander Nevsky,1938,7.6,10298
tt0029870,Angels with Dirty Faces%Battle of City Hall,Angels with Dirty Faces,1938,7.9,19467
tt0029942,Boys Town%Boys' Town,Boys Town,1938,7.3,5018
tt0029947,Bringing Up Baby,Bringing Up Baby,1938,7.9,54040
tt0029957,La bête humaine%La Bête Humaine,La Bête Humaine,1938,7.6,6775
tt0029992,Charles Dickens' A Christmas Carol%A Christmas Carol,A Christmas Carol,1938,7.5,5910
