ngrams,max_features,max_df,min_df,avg_recall,avg_distance,intercept,pred1
"(1, 1)",1000,0.1,1.0,0.048890960885805586,0.529460017006986,0.12707781551901914,[-0.02059501]
"(1, 1)",1000,0.1,0.005,0.04575848305925362,0.5105688971353134,0.12134745235876385,[-0.02670107]
"(1, 1)",1000,0.1,0.01,0.04471194275528627,0.42011116116799696,0.12419023998383552,[-0.06499373]
"(1, 1)",1000,0.3,1.0,0.04971334624918118,0.5457259559538716,0.13466896312867202,[-0.02100554]
"(1, 1)",1000,0.3,0.005,0.045646556271684416,0.5288490195906713,0.1210420675413118,[-0.02152322]
"(1, 1)",1000,0.3,0.01,0.03938259630780295,0.44892497654054586,0.10716112587730832,[-0.04381851]
"(1, 1)",1000,1.0,1.0,0.047958955519090886,0.5389693699902223,0.12770864718819136,[-0.02025837]
"(1, 1)",1000,1.0,0.005,0.044288718215766604,0.5215183848343877,0.11231019407511128,[-0.01811949]
"(1, 1)",1000,1.0,0.01,0.036708181737423115,0.4385442972859462,0.091121268089881,[-0.03295533]
"(1, 1)",5000,0.1,1.0,0.058924770365222326,0.6518631348244401,0.16754041345573722,[0.00091703]
"(1, 1)",5000,0.1,0.005,0.04575848305925362,0.5105688971353134,0.12134745235876385,[-0.02670107]
"(1, 1)",5000,0.1,0.01,0.04471194275528627,0.42011116116799696,0.12419023998383552,[-0.06499373]
"(1, 1)",5000,0.3,1.0,0.059587881407429474,0.6573609569621199,0.17920785780517307,[-0.00276215]
"(1, 1)",5000,0.3,0.005,0.045646556271684416,0.5288490195906713,0.1210420675413118,[-0.02152322]
"(1, 1)",5000,0.3,0.01,0.03938259630780295,0.44892497654054586,0.10716112587730832,[-0.04381851]
"(1, 1)",5000,1.0,1.0,0.061287670057272765,0.6538288378513892,0.18585170587528024,[-0.00466304]
"(1, 1)",5000,1.0,0.005,0.044288718215766604,0.5215183848343877,0.11231019407511128,[-0.01811949]
"(1, 1)",5000,1.0,0.01,0.036708181737423115,0.4385442972859462,0.091121268089881,[-0.03295533]
"(1, 1)",8000,0.1,1.0,0.06006204220710073,0.6738925161224203,0.1852974196458594,[-0.00054138]
"(1, 1)",8000,0.1,0.005,0.04575848305925362,0.5105688971353134,0.12134745235876385,[-0.02670107]
"(1, 1)",8000,0.1,0.01,0.04471194275528627,0.42011116116799696,0.12419023998383552,[-0.06499373]
"(1, 1)",8000,0.3,1.0,0.0603993127601751,0.6783048516708754,0.1889409846004751,[-0.00056329]
"(1, 1)",8000,0.3,0.005,0.045646556271684416,0.5288490195906713,0.1210420675413118,[-0.02152322]
"(1, 1)",8000,0.3,0.01,0.03938259630780295,0.44892497654054586,0.10716112587730832,[-0.04381851]
"(1, 1)",8000,1.0,1.0,0.06046205047522023,0.6751453237105174,0.186421993509178,[-0.00014516]
"(1, 1)",8000,1.0,0.005,0.044288718215766604,0.5215183848343877,0.11231019407511128,[-0.01811949]
"(1, 1)",8000,1.0,0.01,0.036708181737423115,0.4385442972859462,0.091121268089881,[-0.03295533]
"(1, 2)",1000,0.1,1.0,0.042363351107650785,0.5309906702947493,0.10204210974205802,[-0.01034924]
"(1, 2)",1000,0.1,0.005,0.04116576749923399,0.5329241490218094,0.09605111837601736,[-0.00693793]
"(1, 2)",1000,0.1,0.01,0.041270293383645684,0.4447772164747159,0.12314864046590275,[-0.06093981]
"(1, 2)",1000,0.3,1.0,0.0432661796763363,0.5363181563166043,0.11705811431635718,[-0.02053174]
"(1, 2)",1000,0.3,0.005,0.04272088195959901,0.539420287302708,0.11040573713894036,[-0.01507129]
"(1, 2)",1000,0.3,0.01,0.037114987495976484,0.4587118487456284,0.10367162122772984,[-0.04142303]
"(1, 2)",1000,1.0,1.0,0.04409191214991706,0.5279765495550165,0.11815331870775078,[-0.02212073]
"(1, 2)",1000,1.0,0.005,0.04341866236848824,0.5308439836296999,0.11286811195325455,[-0.01796025]
"(1, 2)",1000,1.0,0.01,0.03547763042888678,0.4495033702426569,0.09452694637614847,[-0.03683873]
